,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.9378571428571428,0.9901960784313726,0.9507212885154062,0.9635854341736695,0.7981438515081206,0.9430848036425725,0.9378571428571428,0.9626238086339002,0.9635854341736695,0.9394158690279504,0.9507212885154062,0.921832884097035,0.9941860465116279,0.946423688425329,0.9710144927536232,0.6979166666666666,0.9295454545454546,0.921832884097035,0.9695152013147083,0.9710144927536232,0.9254970586045126,0.9464236884253291
1,msa_psp_v_pd,1.0,0.19138418079096045,0.5,0.0,,0.19138418079096045,1.0,0.5,0.0,,0.5,1.0,0.21971830985915494,0.5,0.0,,0.21971830985915494,1.0,0.5,0.0,,0.5
2,msa_v_pd_psp,1.0,0.0614406779661017,0.5,0.0,,0.0614406779661017,1.0,0.5,0.0,,0.5,1.0,0.0676056338028169,0.5,0.0,,0.0676056338028169,1.0,0.5,0.0,,0.5
3,psp_v_pd_msa,0.0,0.0,0.5,1.0,0.8700564971751412,0.8700564971751412,0.0,,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.847887323943662,0.847887323943662,0.0,,1.0,0.5,0.5
4,psp_v_msa,0.6968085106382979,0.8343949044585988,0.705547112462006,0.7142857142857143,0.5327868852459017,0.7025089605734767,0.6968085106382979,0.7092034029389018,0.7142857142857143,0.70201643017177,0.7055471124620061,0.64,0.8205128205128205,0.645,0.65,0.41935483870967744,0.6428571428571429,0.64,0.6464646464646465,0.65,0.6435643564356436,0.645
5,pd_v_msa,0.9496910856134158,0.963294538943599,0.754415435279826,0.5591397849462365,0.47706422018348627,0.9200652528548124,0.9496910856134158,0.6829601217572907,0.5591397849462365,0.9174517651089276,0.7544154352798261,0.9377162629757786,0.9575971731448764,0.635524798154556,0.3333333333333333,0.25,0.9022801302931596,0.9377162629757786,0.584471603163192,0.3333333333333333,0.8425655976676385,0.635524798154556
