,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.0,0.0,0.5,1.0,0.20318725099601595,0.20318725099601595,0.0,,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.15681818181818183,0.15681818181818183,0.0,,1.0,0.5,0.5
1,msa_psp_v_pd,0.8339483394833949,0.7508305647840532,0.8842230780386405,0.9344978165938864,0.9596412556053812,0.9152542372881356,0.8339483394833949,0.9271753345634999,0.9344978165938864,0.8491193136063486,0.8842230780386406,0.8076923076923077,0.7974683544303798,0.874965287420161,0.9422382671480144,0.9456521739130435,0.9126760563380282,0.8076923076923077,0.9332584630194127,0.9422382671480144,0.8304981030473626,0.874965287420161
2,msa_v_pd_psp,1.0,0.0614406779661017,0.5,0.0,,0.0614406779661017,1.0,0.5,0.0,,0.5,1.0,0.0676056338028169,0.5,0.0,,0.0676056338028169,1.0,0.5,0.0,,0.5
3,psp_v_pd_msa,0.9184782608695652,0.7379912663755459,0.9348884810841332,0.9512987012987013,0.987363100252738,0.9470338983050848,0.9184782608695652,0.949646062905933,0.9512987012987013,0.9210688170573361,0.9348884810841332,0.9074074074074074,0.7538461538461538,0.9271256306140027,0.946843853820598,0.9827586206896551,0.9408450704225352,0.9074074074074074,0.9446615000320245,0.946843853820598,0.9109203906481207,0.9271256306140028
4,psp_v_msa,0.9308510638297872,1.0,0.9654255319148937,1.0,0.875,0.953405017921147,0.9308510638297872,1.0,1.0,0.9353233830845772,0.9654255319148937,0.88,0.9777777777777777,0.9149999999999999,0.95,0.76,0.9,0.88,0.9462365591397849,0.95,0.8878504672897197,0.915
5,pd_v_msa,0.9726390114739629,0.955767562879445,0.7121259573498847,0.45161290322580644,0.5753424657534246,0.933115823817292,0.9726390114739629,0.6394624038335549,0.45161290322580644,0.9428758247637163,0.7121259573498847,0.9792387543252595,0.9725085910652921,0.7673971549404076,0.5555555555555556,0.625,0.9543973941368078,0.9792387543252595,0.6878206859303269,0.5555555555555556,0.9639759839893263,0.7673971549404075
