,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.9535714285714286,0.9933035714285714,0.9641806722689076,0.9747899159663865,0.8426150121065376,0.9578827546955037,0.9535714285714286,0.974243399871217,0.9747899159663865,0.95453610368237,0.9641806722689076,0.9299191374663073,0.9913793103448276,0.943220438298371,0.9565217391304348,0.717391304347826,0.9340909090909091,0.9299191374663073,0.9553334938598603,0.9565217391304348,0.9317351598173517,0.9432204382983711
1,msa_psp_v_pd,0.9077490774907749,0.7834394904458599,0.9241802156012827,0.9406113537117904,0.9773139745916516,0.934322033898305,0.9077490774907749,0.9385933928250105,0.9406113537117904,0.9106841980455049,0.9241802156012826,0.8846153846153846,0.8214285714285714,0.915231880033324,0.9458483754512635,0.966789667896679,0.9323943661971831,0.8846153846153846,0.9423162254104422,0.9458483754512635,0.8912730603166297,0.9152318800333241
2,msa_v_pd_psp,1.0,0.0614406779661017,0.5,0.0,,0.0614406779661017,1.0,0.5,0.0,,0.5,1.0,0.0676056338028169,0.5,0.0,,0.0676056338028169,1.0,0.5,0.0,,0.5
3,psp_v_pd_msa,0.9347826086956522,0.7577092511013216,0.9450698757763976,0.9553571428571429,0.9899074852817493,0.952683615819209,0.9347826086956522,0.9544193420531114,0.9553571428571429,0.9360973754279194,0.9450698757763976,0.9259259259259259,0.78125,0.9397071490094747,0.9534883720930233,0.9862542955326461,0.9492957746478873,0.9259259259259259,0.9521700620017715,0.9534883720930233,0.9279128248113998,0.9397071490094746
4,psp_v_msa,0.9361702127659575,1.0,0.9680851063829787,1.0,0.883495145631068,0.956989247311828,0.9361702127659575,1.0,1.0,0.9400000000000001,0.9680851063829787,0.88,0.9565217391304348,0.89,0.9,0.75,0.8857142857142857,0.88,0.8979591836734694,0.9,0.8823529411764706,0.89
5,pd_v_msa,0.9682259488084731,0.9690812720848057,0.7959409313934839,0.6236559139784946,0.6170212765957447,0.9420880913539967,0.9682259488084731,0.7201007933594963,0.6236559139784946,0.9515218209724596,0.7959409313934839,0.972318339100346,0.972318339100346,0.7639369473279508,0.5555555555555556,0.5555555555555556,0.9478827361563518,0.972318339100346,0.6862957937584804,0.5555555555555556,0.952537903757416,0.7639369473279508
